k|packed
B|105400053_503522|all~0,0,2,2 08-30~0,0,1,1 08-26~0,0,1,1 2026-08~0,0,2,2
B|105400053_503784|all~1,1,1,1 2026-07~1,1,0,0
B|105400053_504863|2026-07~0,0,1,1 all~0,0,1,1
B|105400053_505258|2026-08~0,0,1,0 08-03~0,0,1,0 all~1,0,1,0
B|105400053_505691|all~0,0,1,1 2026-08~0,0,1,1
B|105400053_506315|all~0,0,1,1 2026-08~0,0,1,1
B|105400053_506839|all~0,0,1,1 2026-06~0,0,1,1
B|105400053_506840|2026-08~0,0,1,1 08-22~0,0,1,1 all~0,0,1,1
B|105400053_507085|all~0,0,2,0 08-27~0,0,1,0 2026-08~0,0,1,0
B|105400053_507088|all~0,0,4,4 08-26~0,0,2,2 08-25~0,0,1,1 09-02~0,0,1,1 2026-08~0,0,3,3 2026-09~0,0,1,1 2026-09M~0,0,1,1
B|105400053_507120|2026-06~0,0,1,1 all~0,0,1,1 06-15~0,0,1,1
B|105400053_507264|2026-06~1,1,0,0 06-10~1,1,0,0 all~1,1,0,0
B|105400053_507387|2026-09M~0,0,1,0 09-02~0,0,1,0 all~0,0,1,0 2026-09~0,0,1,0
B|105400053_507388|08-28~1,0,1,1 2026-08~1,0,1,1 all~1,0,1,1
B|105400053_507738|06-06~1,1,0,0 all~1,1,1,0 2026-06~1,1,1,0
B|105434351_493288|2026-06~0,0,1,0 05-16~0,0,21,14 05-17~0,0,1,1 2026-06M~0,0,1,0 2026-05~0,0,42,33 05-15~0,0,8,7 06-02~0,0,1,0 all~0,0,52,42 05-18~0,0,5,0
B|105472725_493908|2026-05~6,1,0,0 05-14~1,0,0,0 2026-06~1,1,1,1 05-19~1,0,0,0 05-17~1,0,0,0 05-28~2,0,0,0 05-20~1,1,0,0 06-03~1,1,0,0 all~7,2,1,1
B|105472725_497399|all~3,0,4,3 06-09~1,0,0,0 06-03~0,0,2,1 2026-07~1,0,0,0 07-14~1,0,0,0 2026-06~2,0,4,3 06-06~0,0,1,1
B|105474798_493973|2026-05~0,0,1,0 all~1,1,2,0 05-24~0,0,1,0
B|105546111_494708|05-19~0,0,1,1 05-20~0,0,1,1 2026-06~0,0,1,1 2026-05~0,0,8,7 05-25~0,0,2,2 05-21~0,0,1,1 06-07~0,0,1,0 all~0,0,9,8 05-26~0,0,1,1
B|105546155_494711|05-21~1,0,1,1 2026-07~0,0,1,0 05-18~0,0,7,6 2026-05~1,0,22,21 05-26~0,0,2,2 05-19~0,0,1,1 all~2,0,22,21
B|105658066_505184|all~0,0,1,1 2026-05~0,0,1,1
B|105661272_497658|2026-06~3,0,4,4 06-12~0,0,1,1 08-21~1,0,0,0 2026-08~1,0,0,0 06-11~1,0,2,2 all~4,0,4,4 06-26~1,0,1,1
B|105675843_495694|07-27~0,0,1,0 all~0,0,1,0 2026-07~0,0,1,0
B|105761479_496175|05-26~0,0,1,1 05-29~0,0,1,1 2026-05~0,0,5,5 05-28~0,0,1,1 05-27~0,0,1,1 all~0,0,5,5
B|105761479_496176|05-28~0,0,2,2 2026-05~0,0,6,6 all~0,0,6,6 05-25~0,0,2,2 05-27~0,0,2,2
B|105761479_496177|05-28~0,0,2,2 2026-05~0,0,2,2 all~0,0,2,2
B|105763050_496672|07-19~1,0,0,0 2026-08~3,1,7,0 08-25~0,0,1,0 06-13~1,0,0,0 07-24~1,0,1,0 08-06~1,0,2,0 06-07~0,0,1,0 08-05~0,0,1,0 2026-06~5,1,11,0 06-25~2,0,1,0 07-27~0,0,1,0 08-21~0,0,1,0 06-14~0,0,2,0 2026-07~7,1,4,0 all~15,3,22,0 07-18~1,1,0,0 06-22~0,0,1,0 07-04~1,0,1,0 06-06~1,0,2,0 06-04~0,0,1,0 06-27~1,0,1,0 08-30~1,1,0,0 2026-08M~1,0,0,0 07-03~1,0,0,0 07-23~0,0,1,0 06-23~0,0,2,0 08-02~1,0,0,0 07-07~1,0,0,0 07-11~1,0,0,0
B|105798291_496525|06-12~1,0,1,0 all~1,0,1,0 2026-06~1,0,1,0
B|105815643_496643|06-06~0,0,2,2 2026-06~0,0,2,2 all~0,0,2,2
B|105815918_496640|2026-06~2,0,0,0 all~2,0,0,0 06-03~1,0,0,0 06-19~1,0,0,0
B|105834233_497110|all~0,0,1,1 06-02~0,0,1,1 2026-06M~0,0,1,1 2026-06~0,0,1,1
B|105894784_497318|06-10~0,0,1,1 06-22~1,0,0,0 2026-07~1,0,0,0 06-15~1,0,0,0 06-12~4,1,0,0 06-21~1,0,0,0 2026-06~12,3,2,2 06-11~2,1,0,0 all~14,3,2,2 2026-08~1,0,0,0 08-26~1,0,0,0 07-11~1,0,0,0 06-08~1,0,0,0
B|105896019_497277|06-04~0,0,7,7 06-05~0,0,3,3 06-03~0,0,4,4 06-07~0,0,8,8 all~0,0,22,22 2026-06~0,0,22,22
B|105928799_498163|2026-07~1,1,0,0 2026-07M~1,0,0,0 07-01~1,0,0,0 all~1,1,0,0
B|105928799_498167|2026-07~1,1,0,0 all~1,1,0,0 07-22~1,1,0,0
B|105928990_497460|all~0,0,3,3 2026-06~0,0,3,3
B|105931793_497478|all~0,0,1,1 2026-05~0,0,1,1
B|105931793_500846|all~0,0,3,1 2026-06~0,0,1,1 08-05~0,0,1,0 2026-06M~0,0,1,0 2026-08~0,0,2,0 06-02~0,0,1,0
B|105932402_497515|all~0,0,18,18 06-06~0,0,1,1 06-08~0,0,11,11 06-07~0,0,6,6 2026-06~0,0,18,18
B|105947394_497546|06-12~1,0,0,0 06-29~0,0,1,0 06-20~2,0,0,0 06-21~1,0,0,0 2026-06~4,0,1,0 all~4,0,1,0
B|105947394_497550|2026-06~0,0,1,0 06-12~0,0,1,0 all~0,0,1,0
B|105947394_497552|06-24~0,0,1,0 06-14~0,0,1,0 2026-06~1,0,4,0 all~2,0,5,0 06-13~1,0,1,0
