k|packed
S|m.facebook.com|08-02~0,0,7,0 05-23~0,0,1,0 07-25~1,0,0,0 06-15~1,0,2,0 07-14~0,0,2,0 07-31~0,0,1,0 06-29~0,0,5,0 06-13~1,0,0,0 07-11~0,0,1,0 06-09~1,0,2,0 07-22~1,0,3,0 05-19~0,0,1,0 08-21~0,0,1,0 08-10~0,0,1,0 2026-05~2,0,34,0 07-15~0,0,2,0 05-31~0,0,4,0 05-18~0,0,1,0 08-25~0,0,1,0 08-22~0,0,1,0 06-19~1,0,2,0 07-01~1,0,11,0 2026-07~15,0,80,0 07-06~1,0,6,0 05-25~0,0,1,0 05-21~0,0,1,0 07-16~0,0,2,0 07-28~0,0,4,0 06-30~2,0,12,0 07-20~0,0,3,0 06-21~0,0,1,0 2026-06~14,0,125,0 06-12~0,0,3,0 06-24~0,0,3,0 08-09~0,0,1,0 08-23~0,0,1,0 07-03~1,0,3,0 07-29~2,0,5,0 07-07~1,0,4,0 06-10~0,0,1,0 all~37,0,292,4 08-17~2,0,2,0 06-06~0,0,4,0 06-27~0,0,8,0 07-17~0,0,1,0 06-26~1,0,14,0 07-26~1,0,3,0 2026-08M~1,0,9,0 07-05~1,0,2,0 07-27~0,0,2,0 06-28~2,0,12,0 07-12~2,0,3,0 08-06~0,0,1,0 05-22~0,0,1,0 2026-08~3,0,34,4 05-14~0,0,1,0 2026-06M~0,0,2,0 05-20~1,0,2,0 08-13~0,0,1,0 06-05~0,0,7,0 06-03~0,0,3,0 05-16~1,0,2,0 06-07~0,0,4,0 05-24~0,0,1,0 06-16~1,0,2,0 05-27~0,0,2,0 07-24~0,0,4,0 08-04~0,0,1,0 05-29~0,0,4,0 06-20~0,0,1,0 08-12~0,0,1,0 06-23~0,0,1,0 07-23~2,0,3,0 06-17~1,0,4,0 08-15~0,0,2,0 05-30~0,0,1,0 2026-07M~1,0,14,0 08-16~0,0,2,0 06-02~0,0,1,0 06-22~1,0,2,0 07-02~0,0,3,0 06-11~0,0,3,0 06-08~0,0,3,0 07-10~0,0,2,0 06-18~0,0,1,0 05-28~0,0,6,0 08-01~1,0,2,0 06-25~1,0,4,0 08-20~0,0,3,0 08-11~0,0,5,0 05-17~0,0,2,0 07-21~0,0,1,0 06-01~0,0,1,0
S|m.hungary-bonusesfinder.com|all~0,0,1,0
S|mobile.bonusfinder.com.ua|all~0,0,1,0
S|nacho-brothers.com|all~0,0,2,2 07-24~0,0,1,1 2026-07~0,0,2,2
S|nodepositslots.org|2026-05~1,0,0,0 all~1,0,0,0 05-25~1,0,0,0
S|nostrabet.com|all~1,0,3,0 06-26~0,0,1,0 2026-06~0,0,1,0 08-09~0,0,1,0 2026-08~1,0,2,0 08-23~1,0,0,0
S|onlinegames-de.store|2026-08M~1,1,0,0 all~1,1,0,0 2026-08~1,1,0,0 08-02~1,1,0,0
S|org.telegram.messenger|05-27~0,0,1,0 07-29~0,0,1,0 all~0,0,2,0 2026-05~0,0,1,0 2026-07~0,0,1,0
S|org.telegram.messenger.web|all~0,0,1,0 06-06~0,0,1,0 2026-06~0,0,1,0
S|plinko-game.org.za|2026-05~0,0,2,0 05-25~0,0,1,0 05-16~0,0,1,0 all~0,0,2,0
S|romania-casinobonusesfinder.com|05-17~0,0,1,0 all~0,0,1,0 2026-05~0,0,1,0
S|roulette77.us|all~2,0,1,0 05-25~0,0,1,0 2026-05~2,0,1,0 05-15~1,0,0,0 05-22~1,0,0,0
S|scratchcardjoe.com|06-12~1,1,0,0 2026-06~1,1,0,0 all~2,1,0,0 08-26~1,0,0,0 2026-08~1,0,0,0
S|search.brave.com|all~1,1,2,2 2026-06~0,0,2,2 06-07~0,0,1,1 2026-07~1,1,0,0 07-15~1,1,0,0
S|search.yahoo.com|2026-06~1,0,1,1 all~1,0,1,1 06-11~1,0,1,1
S|sigma.world|2026-08~0,0,2,0 2026-09~0,0,1,0 09-02~0,0,1,0 08-10~0,0,1,0 all~0,0,3,0 2026-09M~0,0,1,0
S|silentbet.com|07-11~0,0,1,0 05-19~1,0,1,0 2026-07~1,0,4,0 2026-05~1,0,1,0 07-01~0,0,1,0 all~3,0,8,0 07-27~1,0,1,0 2026-07M~0,0,1,0 06-15~0,0,1,0 06-03~1,0,0,0 2026-06~1,0,3,0 06-27~0,0,1,0 07-28~0,0,1,0
S|spinhub.gg|07-29~1,1,1,1 08-16~1,0,0,0 07-25~1,0,0,0 2026-08~3,1,0,0 07-28~1,1,0,0 2026-07~4,3,1,1 all~7,4,1,1
S|srt.bitcoin.com|07-13~0,0,1,1 2026-05~0,0,1,0 2026-07~0,0,1,1 06-12~1,0,0,0 2026-08~2,0,2,2 05-21~0,0,1,0 2026-06~1,1,1,1 08-13~0,0,1,1 08-09~1,0,0,0 all~3,1,5,4 08-03~0,0,1,1
S|t.co|08-30~0,0,2,0 08-23~0,0,1,1 07-19~0,0,2,2 06-25~0,0,1,0 2026-06~0,0,11,5 2026-07M~0,0,1,0 06-20~0,0,1,0 2026-08~0,0,8,4 07-24~0,0,2,1 2026-05~0,0,4,3 08-29~0,0,1,0 07-20~0,0,4,0 05-13~0,0,1,1 07-02~0,0,1,0 2026-07~1,0,19,7 all~3,0,48,24 06-24~0,0,1,1 06-15~0,0,1,0 07-03~0,0,1,0 07-17~0,0,1,1 08-12~0,0,1,1 06-21~0,0,1,1 05-16~0,0,1,1 06-26~0,0,2,2 05-25~0,0,1,0 07-22~0,0,2,0 08-18~0,0,1,0
S|thecasinowizard.com|2026-07~0,0,1,0 07-18~0,0,1,0 all~0,0,1,0
S|tracker-pm2.fortunejackpartners.com|07-23~0,0,2,0 06-18~1,0,0,0 08-12~0,0,1,0 06-29~0,0,1,0 2026-06M~0,0,2,0 07-01~0,0,2,0 07-22~0,0,1,0 2026-06~4,0,21,1 06-04~0,0,1,0 2026-07~0,0,15,0 06-23~0,0,1,0 06-02~0,0,1,0 06-11~0,0,1,0 05-28~0,0,2,0 all~6,0,47,1 06-01~0,0,1,0 07-19~0,0,1,0 08-01~0,0,1,0 08-23~0,0,1,0 07-21~0,0,1,0 07-27~0,0,1,0 06-21~0,0,1,0 06-30~1,0,5,1 06-19~0,0,1,0 05-17~1,0,0,0 2026-07M~0,0,2,0 06-05~0,0,1,0 06-28~0,0,3,0 06-09~1,0,1,0 07-15~0,0,2,0 08-02~1,0,0,0 05-29~0,0,2,0 06-25~1,0,1,0 05-31~0,0,3,0 07-28~0,0,3,0 07-18~0,0,1,0 08-04~0,0,1,0 07-13~0,0,1,0 2026-08M~1,0,1,0 2026-08~1,0,4,0 06-17~0,0,1,0 2026-05~1,0,7,0
S|tribuna.com|08-31~1,1,0,0 all~1,1,0,0 2026-08~1,1,0,0
S|url7982.transactions.fortunejack.com|06-26~0,0,1,0 all~0,0,2,1 2026-06~0,0,1,0
S|url8039.fortunejack.com|2026-06~2,0,3,1 all~3,0,3,1 06-16~1,0,1,0 06-11~1,0,1,0
S|vip-bet.com|2026-07~0,0,2,2 all~0,0,5,5 05-21~0,0,1,1 05-20~0,0,2,2 2026-05~0,0,3,3 07-13~0,0,2,2
S|www.25bahisno1.com|07-02~0,0,1,1 2026-07~0,0,1,1 2026-07M~0,0,1,1 all~0,0,1,1
S|www.askgamblers.com|05-15~1,0,0,0 08-17~1,1,0,0 2026-09M~1,0,0,0 2026-05~1,1,1,1 09-02~1,0,0,0 2026-08~1,1,0,0 06-20~0,0,1,1 06-19~1,0,0,0 2026-06~1,0,1,1 2026-09~1,0,0,0 all~4,2,3,3
S|www.benitezgambles.com|08-13~0,0,1,1 2026-08~0,0,1,1 all~0,0,1,1
S|www.bestbitcoincasino.com|2026-07~0,0,1,0 2026-07M~0,0,1,0 07-01~0,0,1,0 all~0,0,1,0
S|www.betbrain.com|all~1,0,0,0
S|www.betburger.com|05-14~0,0,1,1 2026-05~0,0,1,1 all~0,0,1,1
S|www.betluck.tv|05-23~1,0,0,0 all~1,0,1,1 2026-05~1,0,0,0 2026-07~0,0,1,1
S|www.betonvalue.com|all~0,0,1,0 2026-06~0,0,1,0 06-03~0,0,1,0
S|www.betpack.com|2026-09~1,0,0,0 all~2,1,0,0 09-01~1,0,0,0 2026-08~1,1,0,0 2026-09M~1,0,0,0 08-15~1,1,0,0
S|www.bing.com|all~0,0,3,2 06-06~0,0,1,0 2026-05~0,0,1,0 2026-08~0,0,1,1 05-14~0,0,1,0 2026-06~0,0,1,1
S|www.bonusbets.com|06-05~0,0,1,0 all~0,0,1,0 2026-06~0,0,1,0
S|www.bookmakers.bet|08-31~0,0,1,0 2026-08~2,1,1,0 07-06~0,0,1,1 09-01~1,0,0,0 all~4,1,2,1 08-06~1,0,0,0 2026-07~1,0,1,1 2026-09M~1,0,0,0 07-19~1,0,0,0 08-23~1,1,0,0 2026-09~1,0,0,0
S|www.coincarp.com|2026-06~0,0,1,1 05-23~0,0,1,1 2026-05~0,0,1,1 all~0,0,2,2
S|www.fortunejack.com|06-24~1,0,0,0 all~1,0,0,0 2026-06~1,0,0,0
S|www.freeextrachips.com|all~0,0,1,0 2026-05~0,0,1,0 05-29~0,0,1,0
S|www.google.com|06-06~1,1,0,0 09-01~0,0,1,1 07-06~0,0,1,1 05-26~1,1,1,0 07-21~1,1,1,0 05-13~0,0,2,2 06-07~0,0,1,1 06-01~0,0,1,1 all~50,28,115,87 2026-09M~0,0,2,1 08-18~1,1,1,0 2026-09~0,0,2,1 05-23~0,0,1,1 06-17~0,0,1,1 08-28~1,1,1,0 05-15~0,0,1,0 06-04~1,1,1,1 08-03~0,0,1,1 06-16~0,0,1,1 08-27~0,0,1,1 07-13~0,0,1,0 05-19~0,0,2,2 07-27~0,0,1,1 06-25~0,0,1,1 2026-05~11,5,42,31 05-17~1,0,2,1 07-08~0,0,1,1 06-10~2,1,2,2 08-24~1,0,2,2 06-12~2,1,1,0 08-29~1,1,0,0 05-31~2,2,1,1 06-23~0,0,1,1 08-08~0,0,1,1 07-18~1,1,0,0 2026-07~9,5,15,11 07-29~0,0,1,1 06-11~1,0,1,1 07-09~1,1,1,1 2026-06M~1,0,3,3 05-20~0,0,2,1 05-14~1,0,1,1 07-03~1,1,0,0 07-31~0,0,1,1 06-29~1,0,0,0 05-16~2,0,4,2 06-20~1,0,0,0 05-21~1,0,3,3 07-10~0,0,1,0 08-13~1,0,1,0 05-22~0,0,2,2 2026-08~8,4,16,11 06-09~1,1,2,1 06-05~1,1,0,0 07-30~1,0,1,1 06-03~1,0,1,0 08-16~1,0,0,0 05-30~1,1,1,1 2026-07M~1,0,1,1 08-22~0,0,1,1 06-02~1,0,2,2 08-12~0,0,1,1 2026-06~17,9,26,21 07-01~1,0,1,1 09-02~0,0,1,0 05-27~1,0,1,0 06-14~0,0,1,1 08-10~0,0,2,1 07-12~1,1,0,0 05-25~0,0,2,0 05-18~0,0,1,1 05-29~0,0,2,2 07-04~1,0,0,0 07-16~2,0,0,0
S|www.google.lt|2026-06M~0,0,1,1 all~0,0,1,1 2026-06~0,0,1,1 06-02~0,0,1,1
S|www.instagram.com|all~0,0,1,0 2026-05~0,0,1,0 05-31~0,0,1,0
S|www.mamabonus.com|2026-08~0,0,1,0 all~0,0,1,0
S|www.moobslots.com|2026-07~1,0,0,0 07-14~1,0,0,0 all~1,0,0,0
S|www.nightrush.com|08-31~1,0,0,0 2026-08~1,0,0,0 all~1,0,0,0
S|www.norskcasinoguide.com|06-29~1,1,1,0 07-21~1,0,0,0 2026-06~1,1,1,0 2026-07~1,0,0,0 all~2,1,1,0
S|www.oddspodden.com|2026-08~2,1,0,0 06-28~1,0,1,1 08-12~1,1,0,0 2026-06~2,1,1,1 all~4,2,1,1 08-03~1,0,0,0
S|www.onlinecasino-gambler.net|all~0,0,1,0
S|www.onlinecasinosonline.co.za|2026-05~0,0,1,0 2026-09M~0,0,1,0 06-04~0,0,1,0 all~0,0,7,0 2026-07~0,0,3,0 2026-06~0,0,2,0 09-02~0,0,1,0 2026-09~0,0,1,0 2026-06M~0,0,1,0 07-08~0,0,2,0 05-23~0,0,1,0 06-02~0,0,1,0 07-14~0,0,1,0
S|www.paygamble.com|05-22~0,0,1,1 all~0,0,1,1 2026-05~0,0,1,1
S|www.sbo.net|2026-06~0,0,1,0 all~0,0,1,0 06-12~0,0,1,0
S|www.slotozilla.com|08-21~0,0,1,0 2026-06~0,0,1,0 2026-05~0,0,1,0 06-03~0,0,1,0 all~0,0,3,0 05-29~0,0,1,0 2026-08~0,0,1,0
S|www.slotsup.com|06-04~0,0,1,0 2026-06~0,0,1,0 all~0,0,1,0
S|www.spicycasinos.com|2026-06M~0,0,1,1 all~0,0,2,1 2026-06~0,0,1,1 06-02~0,0,1,1
S|www.thepunterspage.com|05-24~0,0,1,1 all~0,0,1,1 2026-05~0,0,1,1
S|www.trustpilot.com|2026-06~0,0,1,1 06-19~0,0,1,1 all~0,0,1,1
S|www.vidibond.es|2026-07~1,0,0,0 07-24~1,0,0,0 all~1,0,0,0
S|www.vip-grinders.com|all~0,0,1,1 2026-07~0,0,1,1 07-19~0,0,1,1
S|znaki.fm|2026-05~1,0,0,0 all~1,0,1,0 05-17~1,0,0,0
